安;relax, cheap, low;やす.い, やす.まる, やす;アン;4
一;one, one radical (no.1), un;ひと-, ひと.つ;イチ, イツ;4
飲;drink, smoke, take;の.む, -の.み;イン, オン;4
右;right, droite, derecha;みぎ;ウ, ユウ;4
雨;rain, pluie, lluvia;あめ, あま-, -さめ;ウ;4
駅;station, gare, estación;;エキ;4
円;circle, yen, round;まる.い, まる, まど;エン;4
下;below, down, descend;した, しも, もと;カ, ゲ;4
何;what, quoi, qué;なに, なん, なに-;カ;4
火;fire, feu, fuego;ひ, -び, ほ-;カ;4
花;flower, fleur, flor;はな;カ, ケ;4
会;meeting, meet, party;あ.う, あ.わせる, あつ.まる;カイ, エ;4
外;outside, extérieur, fuera;そと, ほか, はず.す;ガイ, ゲ;4
学;study, learning, science;まな.ぶ;ガク;4
間;interval, space, intervalle;あいだ, ま, あい;カン, ケン;4
気;spirit, mind, air;いき;キ, ケ;4
休;rest, day off, retire;やす.む, やす.まる, やす.める;キュウ;4
魚;fish, poisson, pez;うお, さかな, -ざかな;ギョ;4
金;gold, or, oro;かね, かな-, -がね;キン, コン, ゴン;4
九;nine, neuf, nueve;ここの, ここの.つ;キュウ, ク;4
空;empty, sky, void;そら, あ.く, あ.き;クウ;4
月;month, moon, lune;つき;ゲツ, ガツ;4
見;see, hopes, chances;み.る, み.える, み.せる;ケン;4
言;say, dire, palabras;い.う, こと;ゲン, ゴン;4
古;old, vieux, viejo;ふる.い, ふる-, -ふる.す;コ;4
五;five, cinq, cinco;いつ, いつ.つ;ゴ;4
午;noon, sign of the horse, 11AM-1PM;うま;ゴ;4
後;behind, back, later;のち, うし.ろ, うしろ;ゴ, コウ;4
語;word, speech, language;かた.る, かた.らう;ゴ;4
口;mouth, bouche, boca;くち;コウ, ク;4
校;exam, school, printing;;コウ, キョウ;4
行;going, journey, carry out;い.く, ゆ.く, -ゆ.き;コウ, ギョウ, アン;4
高;tall, high, expensive;たか.い, たか, -だか;コウ;4
国;country, pays, país;くに;コク;4
今;now, maintenant, ahora;いま;コン, キン;4
左;left, gauche, izquierda;ひだり;サ, シャ;4
三;three, trois, tres;み, み.つ, みっ.つ;サン, ゾウ;4
山;mountain, montagne, montaña;やま;サン, セン;4
四;four, quatre, cuatro;よ, よ.つ, よっ.つ;シ;4
子;child, sign of the rat, 11PM-1AM;こ, -こ, ね;シ, ス, ツ;4
時;time, hour, temps;とき, -どき;ジ;4
耳;ear, oreille, oreja;みみ;ジ;4
七;seven, sept, siete;なな, なな.つ, なの;シチ;4
社;company, firm, office;やしろ;シャ;4
車;car, véhicule, voiture;くるま;シャ;4
手;hand, main, mano;て, て-, -て;シュ, ズ;4
週;week, semaine, semana;;シュウ;4
十;ten, dix, diez;とお, と;ジュウ, ジッ, ジュッ;4
出;exit, leave, go out;で.る, -で, だ.す;シュツ, スイ;4
書;write, écrire, escritura;か.く, -が.き, -がき;ショ;4
女;woman, female, femme;おんな, め;ジョ, ニョ, ニョウ;4
小;little, small, petit;ちい.さい, こ-, お-;ショウ;4
少;few, little, un petit peu;すく.ない, すこ.し;ショウ;4
上;above, up, au-dessus;うえ, -うえ, うわ-;ジョウ, ショウ, シャン;4
食;eat, food, manger;く.う, く.らう, た.べる;ショク, ジキ;4
新;new, nouveau, nuevo;あたら.しい, あら.た, あら-;シン;4
人;person, être humain, personne;ひと, -り, -と;ジン, ニン;4
水;water, eau, agua;みず, みず-;スイ;4
生;life, genuine, birth;い.きる, い.かす, い.ける;セイ, ショウ;4
西;west, Spain, Ouest;にし;セイ, サイ, ス;4
先;before, ahead, previous;さき, ま.ず;セン;4
千;thousand, mille, mil;ち;セン;4
川;stream, river, river or three-stroke river radical (no. 47);かわ;セン;4
前;in front, before, devant;まえ, -まえ;ゼン;4
足;leg, foot, be sufficient;あし, た.りる, た.る;ソク;4
多;many, frequent, much;おお.い, まさ.に, まさ.る;タ;4
大;large, big, grand;おお-, おお.きい, -おお.いに;ダイ, タイ;4
男;male, homme, mâle;おとこ, お;ダン, ナン;4
中;in, inside, middle;なか, うち, あた.る;チュウ;4
長;long, leader, superior;なが.い, おさ;チョウ;4
天;heavens, sky, imperial;あまつ, あめ, あま-;テン;4
店;store, shop, magasin;みせ, たな;テン;4
電;electricity, électricité, electricidad;;デン;4
土;soil, earth, ground;つち;ド, ト;4
東;east, Est, Este;ひがし;トウ;4
道;road-way, street, district;みち;ドウ, トウ;4
読;read, lire, leer;よ.む, -よ.み;ドク, トク, トウ;4
南;south, sud, Sur;みなみ;ナン, ナ;4
二;two, two radical (no.2), deux;ふた, ふた.つ, ふたたび;ニ, ジ;4
日;day, sun, Japan;ひ, -び, -か;ニチ, ジツ;4
入;enter, insert, entrer;い.る, -い.る, -い.り;ニュウ, ジュ;4
年;year, counter for years, année;とし;ネン;4
買;buy, acheter, comprar;か.う;バイ;4
白;white, blanc, blanco;しろ, しら-, しろ.い;ハク, ビャク;4
八;eight, eight radical (no. 12), huit;や, や.つ, やっ.つ;ハチ;4
半;half, middle, odd number;なか.ば;ハン;4
百;hundred, cent, cien;もも;ヒャク, ビャク;4
父;father, père, padre;ちち;フ;4
分;part, minute of time, segment;わ.ける, わ.け, わ.かれる;ブン, フン, ブ;4
聞;hear, ask, listen;き.く, き.こえる;ブン, モン;4
母;mother, maman, mère;はは, も;ボ;4
北;north, nord, Norte;きた;ホク;4
本;book, present, main;もと;ホン;4
毎;every, chaque, siempre;ごと, -ごと.に;マイ;4
万;ten thousand, 10,000, myriade;よろず;マン, バン;4
名;name, noted, distinguished;な, -な;メイ, ミョウ;4
木;tree, wood, arbre;き, こ-;ボク, モク;4
目;eye, class, look;め, -め, ま-;モク, ボク;4
友;friend, ami, amigo;とも;ユウ;4
来;come, due, next;く.る, きた.る, きた.す;ライ, タイ;4
立;stand up, rise, set up;た.つ, -た.つ, た.ち-;リツ, リュウ, リットル;4
六;six, six, seis;む, む.つ, むっ.つ;ロク, リク;4
話;tale, talk, parler;はな.す, はなし;ワ;4
