愛;love, affection, favourite;いと.しい, かな.しい, め.でる;アイ;2
圧;pressure, push, overwhelm;お.す, へ.す, おさ.える;アツ, エン, オウ;2
案;plan, suggestion, draft;つくえ;アン;2
位;rank, grade, throne;くらい, ぐらい;イ;2
依;reliant, depend on, consequently;よ.る;イ, エ;2
偉;admirable, greatness, remarkable;えら.い;イ;2
囲;surround, besiege, store;かこ.む, かこ.う, かこ.い;イ;2
委;committee, entrust to, leave to;ゆだ.ねる;イ;2
易;easy, ready to, simple;やさ.しい, やす.い;エキ, イ;2
異;uncommon, different, queerness;こと, こと.なる, け;イ;2
移;shift, move, change;うつ.る, うつ.す;イ;2
胃;stomach, paunch, crop;;イ;2
衣;garment, clothes, dressing;ころも, きぬ, -ぎ;イ, エ;2
違;difference, differ, différence;ちが.う, ちが.い, ちが.える;イ;2
域;range, region, limits;;イキ;2
育;bring up, grow up, raise;そだ.つ, そだ.ち, そだ.てる;イク;2
印;stamp, seal, mark;しるし, -じるし, しる.す;イン;2
因;cause, factor, be associated with;よ.る, ちな.む;イン;2
宇;eaves, roof, house;;ウ;2
羽;feathers, counter for birds, rabbits, plume;は, わ, はね;ウ;2
雲;cloud, nuage, nube;くも, -ぐも;ウン;2
営;occupation, camp, perform;いとな.む, いとな.み;エイ;2
栄;flourish, prosperity, honor;さか.える, は.え, -ば.え;エイ, ヨウ;2
永;eternity, long, lengthy;なが.い;エイ;2
泳;swim, nager, nadar;およ.ぐ;エイ;2
鋭;pointed, sharpness, edge;するど.い;エイ;2
液;fluid, liquid, juice;;エキ;2
越;surpass, cross over, move to;こ.す, -こ.す, -ご.し;エツ, オツ;2
園;park, garden, yard;その;エン;2
延;prolong, stretching, prolonger;の.びる, の.べる, の.べ;エン;2
演;performance, act, play;;エン;2
煙;smoke, fumée, humo;けむ.る, けむり, けむ.い;エン;2
塩;salt, sel, sal;しお;エン;2
汚;dirty, pollute, disgrace;けが.す, けが.れる, けが.らわしい;オ;2
央;center, middle, centre;;オウ;2
奥;heart, interior, intérieur;おく, おく.まる, くま;オウ;2
応;apply, answer, yes;あた.る, まさに, こた.える;オウ, ヨウ, -ノウ;2
押;push, stop, check;お.す, お.し-, お.っ-;オウ;2
横;sideways, side, horizontal;よこ;オウ;2
欧;Europe, Europe, Europa;うた.う, は.く;オウ;2
王;king, rule, magnate;;オウ, -ノウ;2
黄;yellow, jaune, amarillo;き, こ-;コウ, オウ;2
億;hundred million, 10**8, cent millions;;オク;2
温;warm, chaud, templado;あたた.か, あたた.かい, あたた.まる;オン;2
化;change, take the form of, influence;ば.ける, ば.かす, ふ.ける;カ, ケ;2
仮;sham, temporary, interim;かり, かり-;カ, ケ;2
価;value, price, prix;あたい;カ, ケ;2
加;add, addition, increase;くわ.える, くわ.わる;カ;2
可;can, passable, mustn't;-べ.き, -べ.し;カ, コク;2
科;department, course, section;;カ;2
果;fruit, reward, carry out;は.たす, はた.す, -は.たす;カ;2
河;river, rivière, fleuve;かわ;カ;2
荷;baggage, shoulder-pole load, bear (a burden);に;カ;2
菓;candy, cakes, fruit;;カ;2
課;chapter, lesson, section;;カ;2
貨;freight, goods, property;たから;カ;2
過;overdo, exceed, go beyond;す.ぎる, -す.ぎる, -す.ぎ;カ;2
介;jammed in, shellfish, mediate;;カイ;2
解;unravel, notes, key;と.く, と.かす, と.ける;カイ, ゲ;2
快;cheerful, pleasant, agreeable;こころよ.い;カイ;2
改;reformation, change, modify;あらた.める, あらた.まる;カイ;2
械;contraption, fetter, machine;かせ;カイ;2
灰;ashes, puckery juice, cremate;はい;カイ;2
皆;all, everything, tout;みな, みんな;カイ;2
絵;picture, drawing, painting;;カイ, エ;2
階;storey, stair, counter for storeys of a building;きざはし;カイ;2
貝;shellfish, coquillage, concha;かい;バイ;2
害;harm, injury, tort;;ガイ;2
各;each, every, either;おのおの;カク;2
拡;broaden, extend, expand;ひろ.がる, ひろ.げる, ひろ.める;カク, コウ;2
格;status, rank, capacity;;カク, コウ, キャク;2
確;assurance, firm, tight;たし.か, たし.かめる;カク, コウ;2
覚;memorize, learn, remember;おぼ.える, さ.ます, さ.める;カク;2
角;angle, corner, square;かど, つの;カク;2
較;contrast, compare, contraste;くら.べる;カク, コウ;2
革;leather, skin, reform;かわ;カク;2
額;forehead, tablet, plaque;ひたい;ガク;2
割;proportion, comparatively, divide;わ.る, わり, わ.り;カツ;2
活;lively, resuscitation, being helped;い.きる, い.かす, い.ける;カツ;2
乾;drought, dry, dessicate;かわ.く, かわ.かす, ほ.す;カン, ケン;2
刊;publish, carve, engrave;;カン;2
巻;scroll, volume, book;ま.く, まき, ま.き;カン, ケン;2
完;perfect, completion, end;;カン;2
官;bureaucrat, the government, organ;;カン;2
干;dry, parch, ebb;ほ.す, ほ.し-, -ぼ.し;カン;2
感;emotion, feeling, sensation;;カン;2
慣;accustomed, get used to, become experienced;な.れる, な.らす;カン;2
換;interchange, period, change;か.える, -か.える, か.わる;カン;2
汗;sweat, perspire, sueur;あせ;カン;2
環;ring, circle, link;わ;カン;2
甘;sweet, coax, pamper;あま.い, あま.える, あま.やかす;カン;2
看;watch over, see, regarder attentivement;み.る;カン;2
管;pipe, tube, wind instrument;くだ;カン;2
簡;simplicity, brevity, simplicité;えら.ぶ, ふだ;カン, ケン;2
観;outlook, look, appearance;み.る, しめ.す;カン;2
関;connection, barrier, gateway;せき, -ぜき, かか.わる;カン;2
丸;round, full (month), perfection;まる, まる.める, まる.い;ガン;2
含;contain, include, hold in the mouth;ふく.む, ふく.める;ガン;2
岸;beach, côte, rive;きし;ガン;2
岩;boulder, rock, cliff;いわ;ガン;2
願;petition, request, vow;ねが.う, -ねがい;ガン;2
危;dangerous, fear, uneasy;あぶ.ない, あや.うい, あや.ぶむ;キ;2
喜;rejoice, take pleasure in, se réjouir;よろこ.ぶ, よろこ.ばす;キ;2
器;utensil, vessel, receptacle;うつわ;キ;2
