怪;suspicious, mystery, apparition;あや.しい, あや.しむ;カイ, ケ;1
悔;repent, regret, regret;く.いる, く.やむ, くや.しい;カイ;1
懐;pocket, feelings, heart;ふところ, なつ.かしい, なつ.かしむ;カイ, エ;1
戒;commandment, châtiment, avertissement;いまし.める;カイ;1
拐;kidnap, falsify, rapt;;カイ;1
魁;charging ahead of others, carga;さきがけ, かしら;カイ;1
凱;victory song, grito de victoria, victoria;かちどき, やわらぐ;ガイ, カイ;1
劾;censure, criminal investigation, censure;;ガイ;1
慨;rue, be sad, sigh;;ガイ;1
概;outline, condition, approximation;おおむ.ね;ガイ;1
涯;horizon, shore, limit;はて;ガイ;1
街;boulevard, street, town;まち;ガイ, カイ;1
該;above-stated, the said, that specific;;ガイ;1
馨;fragrant, balmy, favourable;かお.る, かおり;ケイ, キョウ;1
垣;hedge, fence, wall;かき;エン;1
嚇;menacing, dignity, majesty;おど.す;カク;1
核;nucleus, core, kernel;;カク;1
殻;husk, nut shell, coquille;から, がら;カク, コク, バイ;1
獲;seize, get, find;え.る;カク;1
穫;harvest, reap, récolte;;カク;1
郭;enclosure, quarters, fortification;くるわ;カク;1
閣;tower, tall building, palace;;カク;1
隔;isolate, alternate, distance;へだ.てる, へだ.たる;カク;1
岳;point, peak, mountain;たけ;ガク;1
掛;hang, suspend, depend;か.ける, -か.ける, か.け;カイ, ケイ;1
潟;lagoon, lagon, laguna;かた, -がた;セキ;1
喝;hoarse, scold, gronder;;カツ;1
括;fasten, tie up, arrest;くく.る;カツ;1
渇;thirst, dry up, parch;かわ.く;カツ;1
滑;slippery, slide, slip;すべ.る, なめ.らか;カツ, コツ;1
褐;brown, woollen kimono, brun;;カツ;1
轄;control, wedge, contrôle;くさび;カツ;1
且;moreover, also, furthermore;か.つ;ショ, ソ, ショウ;1
叶;grant, answer, concesión;かな.える, かな.う;キョウ;1
樺;birch, dark red, abedul;かば, かんば;カ;1
株;stocks, stump, shares;かぶ;シュ;1
鎌;sickle, scythe, trick;かま;レン, ケン;1
茅;miscanthus reed, gramíneas (junco, heno;かや, ちがや;ボウ, ミョウ;1
刈;reap, cut, clip;か.る;ガイ, カイ;1
侃;strong, just, righteous;つよ.い;カン;1
冠;crown, best, peerless;かんむり;カン;1
勘;intuition, perception, check;;カン;1
勧;persuade, recommend, advise;すす.める;カン, ケン;1
喚;yell, cry, call;わめ.く;カン;1
堪;withstand, endure, support;た.える, たま.る, こら.える;カン, タン;1
寛;tolerant, leniency, generosity;くつろ.ぐ, ひろ.い, ゆる.やか;カン;1
幹;tree trunk, tronc d'arbre, pièce principale;みき;カン;1
患;afflicted, disease, suffer from;わずら.う;カン;1
憾;remorse, regret, be sorry;うら.む;カン;1
敢;daring, brave, bold;あ.えて, あ.えない, あ.えず;カン;1
棺;coffin, casket, cercueil;;カン;1
款;goodwill, article, section;;カン;1
歓;delight, joy, joie;よろこ.ぶ;カン;1
監;oversee, official, govt office;;カン;1
緩;slacken, loosen, relax;ゆる.い, ゆる.やか, ゆる.む;カン;1
缶;tin can, container, jar radical (no. 121);かま;カン;1
肝;liver, pluck, nerve;きも;カン;1
艦;warship, navire de guerre, buque de guerra;;カン;1
莞;smiling, reed used to cover tatami, junco usado para cubrir el tatami;い;カン;1
貫;pierce, 8 1/3lbs, penetrate;つらぬ.く, ぬ.く, ぬき;カン;1
還;send back, return, renvoyer;かえ.る;カン;1
鑑;specimen, take warning from, learn from;かんが.みる, かがみ;カン;1
閑;leisure, loisirs, ocio;;カン;1
陥;collapse, fall into, cave in;おちい.る, おとしい.れる;カン;1
巌;rock, crag, boulder;いわ, いわお, けわ.しい;ガン;1
眼;eyeball, globe oculaire, ojo;まなこ, め;ガン, ゲン;1
頑;stubborn, foolish, firmly;かたく;ガン;1
企;undertake, scheme, design;くわだ.てる, たくら.む;キ;1
伎;deed, skill, habilidad;わざ, わざおぎ;ギ, キ;1
奇;strange, strangeness, curiosity;く.しき, あや.しい, くし;キ;1
嬉;glad, pleased, rejoice;うれ.しい, たの.しむ;キ;1
岐;branch off, fork in road, scene;;キ, ギ;1
幾;how many, how much, how far;いく-, いく.つ, いく.ら;キ;1
忌;mourning, abhor, detestable;い.む, い.み, い.まわしい;キ;1
揮;brandish, wave, wag;ふる.う;キ;1
旗;national flag, banner, standard;はた;キ;1
既;previously, already, long ago;すで.に;キ;1
棋;chess piece, Japanese chess, shogi;ご;キ;1
棄;abandon, throw away, discard;す.てる;キ;1
毅;strong, resuelto, determinado;つよ.い;キ, ギ;1
汽;vapor, steam, vapeur;;キ;1
稀;rare, phenomenal, dilute (acid);まれ, まばら;キ, ケ;1
紀;chronicle, account, narrative;;キ;1
貴;precious, value, prize;たっと.い, とうと.い, たっと.ぶ;キ;1
軌;rut, wheel, track;;キ;1
輝;radiance, shine, sparkle;かがや.く;キ;1
飢;hungry, starve, faim;う.える;キ;1
騎;equestrian, riding on horses, counter for equestrians;;キ;1
鬼;ghost, devil, démon;おに, おに-;キ;1
