唖;mute, dumb;おし;ア, アク;0
娃;beautiful;うつく.しい;ア, アイ, ワ;0
挨;approach, draw near, push open;ひら.く;アイ;0
姶;good-looking, quiet;あい;オウ, アイ;0
逢;meeting, tryst, date;あ.う, むか.える;ホウ;0
穐;autumn;あき, とき;シュウ;0
葦;reed, bullrush;しお.れる, しな.びる, しぼ.む;イ;0
芦;reed, bullrush, junco;あし, よし;ロ;0
鯵;horse mackerel, chicharro, jurel;あじ;ソウ;0
斡;go around, rule, administer;めぐ.る, めぐ.らす;アツ, カン, ワツ;0
宛;address, just like, fortunately;あ.てる, -あて, -づつ;エン;0
姐;elder sister, maidservant;あね, ねえさん;ソ, シャ;0
虻;gadfly, horsefly;あぶ;ボウ;0
飴;rice jelly, candy, golosina;あめ, やしな.う;イ, シ;0
或;some, one, or;あ.る, あるい, あるいは;ワク, コク, イキ;0
粟;millet, mijo;あわ, もみ;ゾク, ショク, ソク;0
袷;lined (kimono);あわせ;コウ, キョウ;0
庵;hermitage, retreat, retiro;いおり, いお;アン;0
按;hold, consider, investigate;おさ.える, しら.べる;アン;0
闇;get dark, gloom, disorder;やみ, くら.い;アン, オン;0
鞍;saddle, silla de montar;くら;アン;0
夷;barbarian, savage, Ainu;えびす, えみし, ころ.す;イ;0
椅;chair, silla, asiento;;イ;0
畏;fear, majestic, graciously;おそ.れる, かしこま.る, かしこ;イ;0
萎;wither, droop, lame;な, しお.れる, しな.びる;イ;0
謂;reason, origin, history;い.う, いい, おも.う;イ;0
溢;overflow, inundate, spill;こぼ.れる, あふ.れる, み.ちる;イツ;0
茨;briar, thorn, épine;いばら, かや, くさぶき;シ, ジ;0
鰯;sardine, (kokuji), sardina;いわし;;0
咽;throat, choked, smothered;むせ.ぶ, むせ.る, のど;イン, エン, エツ;0
淫;lewdness, licentiousness;ひた.す, ほしいまま, みだ.ら;イン;0
蔭;shade, shadow, backing assistance;かげ;イン, オン;0
吋;inch;インチ;トウ, ドウ, スン;0
烏;crow, raven, corneille;からす, いずくんぞ, なんぞ;ウ, オ;0
迂;roundabout way, déviation;;ウ;0
鵜;cormorant, cormorán, pelícano;う;テイ, ダイ;0
窺;lie in wait, spy on, reconnoiter;うかが.う, のぞく;キ;0
碓;pestle;たし.か, かく.たる;カク, タイ;0
臼;mortar, mortier, mortero;うす, うすづ.く;キュウ, グ;0
嘘;lie, falsehood, mentira;うそ, ふ.く;キョ, コ;0
欝;gloom, depression, melancholy;うっ.する, ふさ.ぐ, しげ.る;ウツ, ウン;0
蔚;dense growth;うち, おとこよもぎ;ウツ, イ;0
鰻;eel;うなぎ;マン, バン;0
姥;old woman;うば;ボ, モ;0
厩;barn, stable;うまや;キュウ;0
瓜;melon, melon, melón;うり;カ, ケ;0
閏;intercalation, illegitimate throne;うるう;ジュン;0
噂;rumor, gossip, hearsay;うわさ;ソン;0
云;say, decir;い.う, ここに;ウン;0
荏;bean, perilla, herb;;ジン, ニン;0
餌;food, bait, prey;え, えば, えさ;ジ, ニ;0
嬰;sharp (music), baby;ふ.れる, みどりご, あかご;エイ;0
曳;pull, tug, jerk;ひ.く;エイ;0
洩;leak, escape;も.らす, の.びる, も.れる;エイ, セツ;0
盈;fullness, enough, pride;み.たす, み.ちる;エイ;0
穎;heads of grain, cleverness;ほさき, のぎ;エイ;0
頴;heads of grain, cleverness;ほさき, のぎ;エイ;0
榎;lotus tree, nettle tree, hackberry;えのき;カ;0
厭;get tired of, satiate, bore;いや, あ.きる, いと.う;エン, オン, アン;0
堰;dam, prevent, stop up;せき, せ.く;エン;0
奄;cover, suffocate, obstruct;おお.う, たちまち;エン;0
怨;grudge, show resentment, be jealous;うら.む, うらみ, うら.めしい;エン, オン, ウン;0
掩;cover, conceal;おお.う;エン;0
焔;flame, blaze;ほのお;エン;0
燕;swallow (bird), golondrina;つばめ, つばくら, つばくろ;エン;0
薗;garden, yard, farm;;エン, オン;0
鴛;male mandarin duck;おし, おしどり;エン, オン;0
甥;nephew, sobrino;おい, むこ;セイ, ソウ, ショウ;0
襖;opaque sliding door;ふすま, あお;オウ;0
鴬;nightingale, bush warbler;うぐいす;オウ;0
鴎;seagull, gaviota;かもめ;オウ;0
岡;mount, hill, knoll;おか;コウ;0
荻;reed, rush, roseau;おぎ;テキ;0
臆;timidity, heart, mind;むね, おくする;オク, ヨク;0
桶;tub, bucket, cubo;おけ;ヨウ, トウ;0
牡;male, macho, masculino;おす, お-, おん-;ボ, ボウ;0
俺;I, myself, yo;おれ, われ;エン;0
