悪;bad, vice, rascal;わる.い, わる-, あ.し;アク, オ;3
暗;darkness, disappear, shade;くら.い, くら.む, くれ.る;アン;3
以;by means of, because, in view of;もっ.て;イ;3
意;idea, mind, heart;;イ;3
医;doctor, medicine, médecin;い.やす, い.する, くすし;イ;3
員;employee, member, number;;イン;3
引;pull, tug, jerk;ひ.く, ひ.き, ひ.き-;イン;3
院;Inst., institution, temple;;イン;3
運;carry, luck, destiny;はこ.ぶ;ウン;3
映;reflect, reflection, projection;うつ.る, うつ.す, は.える;エイ;3
英;England, English, hero;はなぶさ;エイ;3
遠;distant, far, loin;とお.い;エン, オン;3
屋;roof, house, shop;や;オク;3
音;sound, noise, son;おと, ね;オン, イン, -ノン;3
夏;summer, été, verano;なつ;カ, ガ, ゲ;3
家;house, home, family;いえ, や, うち;カ, ケ;3
歌;song, sing, chanson;うた, うた.う;カ;3
画;brush-stroke, picture, trait de plume;えが.く, かく.する, かぎ.る;ガ, カク, エ;3
回;-times, round, game;まわ.る, -まわ.る, -まわ.り;カイ, エ;3
海;sea, ocean, mer;うみ;カイ;3
界;world, boundary, monde;;カイ;3
開;open, unfold, unseal;ひら.く, ひら.き, -びら.き;カイ;3
楽;music, comfort, ease;たの.しい, たの.しむ, この.む;ガク, ラク, ゴウ;3
寒;cold, froid (temps), frío;さむ.い;カン;3
漢;Sino-, China, sino-;;カン;3
館;building, mansion, large building;やかた, たて;カン;3
顔;face, expression, visage;かお;ガン;3
帰;homecoming, arrive at, lead to;かえ.る, かえ.す, おく.る;キ;3
起;rouse, wake up, get up;お.きる, お.こる, お.こす;キ;3
急;hurry, emergency, sudden;いそ.ぐ, いそ.ぎ;キュウ;3
究;research, study, recherche;きわ.める;キュウ, ク;3
牛;cow, vache, vaca;うし;ギュウ;3
去;gone, past, quit;さ.る, -さ.る;キョ, コ;3
京;capital, 10**16, capitale;みやこ;キョウ, ケイ, キン;3
強;strong, fort, fuerte;つよ.い, つよ.まる, つよ.める;キョウ, ゴウ;3
教;teach, faith, doctrine;おし.える, おそ.わる;キョウ;3
業;business, vocation, arts;わざ;ギョウ, ゴウ;3
近;near, early, akin;ちか.い;キン, コン;3
銀;silver, argent, plata;しろがね;ギン;3
区;ward, district, circonscription;;ク, オウ, コウ;3
兄;elder brother, big brother, frère aîné;あに;ケイ, キョウ;3
計;plot, plan, scheme;はか.る, はか.らう;ケイ;3
軽;lightly, trifling, unimportant;かる.い, かろ.やか, かろ.んじる;ケイ;3
建;build, construire, construir;た.てる, た.て, -だ.て;ケン, コン;3
犬;dog, chien, perro;いぬ, いぬ-;ケン;3
研;polish, study of, sharpen;と.ぐ;ケン;3
県;prefecture, préfecture, département;か.ける;ケン;3
験;verification, effect, testing;あかし, しるし, ため.す;ケン, ゲン;3
元;beginning, former time, origin;もと;ゲン, ガン;3
光;ray, light, rayon;ひか.る, ひかり;コウ;3
好;fond, pleasing, like something;この.む, す.く, よ.い;コウ;3
工;craft, construction, katakana e radical (no. 48);;コウ, ク, グ;3
広;wide, broad, spacious;ひろ.い, ひろ.まる, ひろ.める;コウ;3
考;consider, think over, réfléchir;かんが.える, かんが.え;コウ;3
合;fit, suit, join;あ.う, -あ.う, あ.い;ゴウ, ガッ, カッ;3
黒;black, noir, negro;くろ, くろ.ずむ, くろ.い;コク;3
菜;vegetable, side dish, greens;な;サイ;3
作;make, production, prepare;つく.る, つく.り, -づく.り;サク, サ;3
産;products, bear, give birth;う.む, う.まれる, うぶ-;サン;3
仕;attend, doing, official;つか.える;シ, ジ;3
使;use, send on a mission, order;つか.う, つか.い, -つか.い;シ;3
始;commence, begin, commencer;はじ.める, -はじ.める, はじ.まる;シ;3
姉;elder sister, soeur aînée, hermana mayor;あね, はは;シ;3
市;market, city, town;いち;シ;3
思;think, penser, pensar;おも.う, おもえら.く, おぼ.す;シ;3
止;stop, halt, arrêter;と.まる, -ど.まり, と.める;シ;3
死;death, die, mort;し.ぬ, し.に-;シ;3
私;private, I, me;わたくし, わたし;シ;3
紙;paper, papier, papel;かみ;シ;3
試;test, try, attempt;こころ.みる, ため.す;シ;3
事;matter, thing, fact;こと, つか.う, つか.える;ジ, ズ;3
字;character, letter, word;あざ, あざな, -な;ジ;3
持;hold, have, avoir;も.つ, -も.ち, も.てる;ジ;3
自;oneself, soi-même, uno mismo;みずか.ら, おの.ずから, おの.ずと;ジ, シ;3
室;room, apartment, chamber;むろ;シツ;3
質;substance, quality, matter;たち, ただ.す, もと;シツ, シチ, チ;3
